"year","state_fips","acs_employment_status_multiple_races_male_16_64_in_labor_force_estimate","acs_employment_status_multiple_races_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_multiple_races_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_multiple_races_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_multiple_races_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_multiple_races_male_16_64_not_in_labor_force_estimate","acs_employment_status_multiple_races_male_65_plus_in_labor_force_estimate","acs_employment_status_multiple_races_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_multiple_races_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_multiple_races_male_65_plus_not_in_labor_force_estimate","acs_employment_status_multiple_races_female_16_64_in_labor_force_estimate","acs_employment_status_multiple_races_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_multiple_races_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_multiple_races_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_multiple_races_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_multiple_races_female_16_64_not_in_labor_force_estimate","acs_employment_status_multiple_races_female_65_plus_in_labor_force_estimate","acs_employment_status_multiple_races_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_multiple_races_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_multiple_races_female_65_plus_not_in_labor_force_estimate","acs_employment_status_multiple_races_male_16_64_in_labor_force_moe","acs_employment_status_multiple_races_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_multiple_races_male_16_64_in_labor_force_civilian_moe","acs_employment_status_multiple_races_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_multiple_races_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_multiple_races_male_16_64_not_in_labor_force_moe","acs_employment_status_multiple_races_male_65_plus_in_labor_force_moe","acs_employment_status_multiple_races_male_65_plus_in_labor_force_employed_moe","acs_employment_status_multiple_races_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_multiple_races_male_65_plus_not_in_labor_force_moe","acs_employment_status_multiple_races_female_16_64_in_labor_force_moe","acs_employment_status_multiple_races_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_multiple_races_female_16_64_in_labor_force_civilian_moe","acs_employment_status_multiple_races_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_multiple_races_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_multiple_races_female_16_64_not_in_labor_force_moe","acs_employment_status_multiple_races_female_65_plus_in_labor_force_moe","acs_employment_status_multiple_races_female_65_plus_in_labor_force_employed_moe","acs_employment_status_multiple_races_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_multiple_races_female_65_plus_not_in_labor_force_moe"
1950,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
