"year","state_fips","acs_population_male_under_5_estimate","acs_population_male_5_9_estimate","acs_population_male_10_14_estimate","acs_population_male_15_17_estimate","acs_population_male_18_19_estimate","acs_population_male_20_estimate","acs_population_male_21_estimate","acs_population_male_22_24_estimate","acs_population_male_25_29_estimate","acs_population_male_30_34_estimate","acs_population_male_35_39_estimate","acs_population_male_40_44_estimate","acs_population_male_45_49_estimate","acs_population_male_50_54_estimate","acs_population_male_55_59_estimate","acs_population_male_60_61_estimate","acs_population_male_62_64_estimate","acs_population_male_65_66_estimate","acs_population_male_67_69_estimate","acs_population_male_70_74_estimate","acs_population_male_75_79_estimate","acs_population_male_80_84_estimate","acs_population_male_85_plus_estimate","acs_population_male_under_5_moe","acs_population_male_5_9_moe","acs_population_male_10_14_moe","acs_population_male_15_17_moe","acs_population_male_18_19_moe","acs_population_male_20_moe","acs_population_male_21_moe","acs_population_male_22_24_moe","acs_population_male_25_29_moe","acs_population_male_30_34_moe","acs_population_male_35_39_moe","acs_population_male_40_44_moe","acs_population_male_45_49_moe","acs_population_male_50_54_moe","acs_population_male_55_59_moe","acs_population_male_60_61_moe","acs_population_male_62_64_moe","acs_population_male_65_66_moe","acs_population_male_67_69_moe","acs_population_male_70_74_moe","acs_population_male_75_79_moe","acs_population_male_80_84_moe","acs_population_male_85_plus_moe"
1950,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
